Motzkin,Robinson
12.196722958,1.360232125
0.597067834,1.29497125
0.549010667,1.308170458
1.45243525,1.442748041
1.367858291,1.316651375
1.404415458,1.325732084
1.376255458,1.281952042
1.301616167,1.261907583
1.324385166,1.289637292
1.386143625,1.330908208
1.360969541,1.262257875
1.344128542,3.005983959
1.361556959,3.145804
1.356172583,2.99880275
1.363818417,3.034107792
1.368730625,3.20683175
1.354550125,3.074731292
1.373137042,3.102375041
1.379365166,3.251167791
1.388279958,3.080805625
1.352779292,3.1077185
1.356562875,3.372142125
1.340952125,3.36083675
1.340000125,3.047834
1.383381833,2.952304666
1.397478334,3.145514708
1.359725583,3.0309585
1.583183625,3.111506583
1.33712,3.176091583
1.364327833,3.522901916
1.331063875,3.32602725
1.351454708,3.2082925
1.459185167,3.207021584
1.336135459,3.243094791
1.360129084,3.254291292
1.333888208,3.025649208
1.421121041,3.0457785
1.334818083,3.184082459
1.346455084,3.066732708
1.465963041,3.092009
1.417793333,3.163833292
1.449122917,3.102146542
1.3378775,3.103191125
1.419222375,3.089878959
1.332075625,3.25794025
1.400524667,3.070723334
1.435655917,3.562268042
1.346039917,3.104292542
1.392944334,3.168921334
1.366368042,3.265100042
1.345758167,3.596391208
1.346113875,3.11722275
1.441037625,3.262357458
1.380774792,3.496281125
1.373586584,3.077947042
1.342847041,3.297086875
1.336527041,3.121961708
1.348522292,3.177320833
1.380969125,3.137000042
1.40005325,3.066865875
3.225814292,3.721325542
3.217917041,3.980372417
3.240375917,3.126287
3.248055625,3.108016542
3.254121917,3.146627375
3.289669084,3.20693425
3.293883833,3.2541225
3.666768,3.095885666
3.469089625,3.318285583
3.318842042,3.143447833
3.31040175,3.331410875
3.451090084,3.324186208
3.651866208,3.419619583
3.481966375,3.366579458
3.89698625,3.517039541
3.972108292,3.55340275
4.058241,4.540812125
4.381123125,3.8355255
4.331034917,4.218503959
4.538628041,4.184616833
4.318319792,4.316987083
4.298172458,4.262714791
4.264313792,4.789593125
4.288752,4.102195625
4.271962458,4.076209125
4.521421541,4.035986333
4.959606167,4.276336958
4.211781375,4.105027959
4.195667292,4.087694625
4.210514834,4.650112625
4.357947416,4.152876042
4.24204075,4.200973834
4.480580875,4.28708625
4.1901645,4.222835459
4.496353125,4.597630375
4.320794875,4.117035459
4.233544292,4.093624125
4.447651625,4.137997
4.1860255,4.107217708
4.208330666,4.591526917
4.345346791,4.217807291
4.325354958,4.42892675
4.6046365,4.1035955
4.457368792,4.078944333
4.494353334,4.285831666
4.325609916,4.91798275
4.993692667,4.217480125
4.181102209,4.162750583
4.34461725,4.292809
4.345682708,4.123049917
4.226678208,4.672616084
4.292952875,4.523917416
4.212000209,4.337555833
4.392116459,4.293976833
4.330309542,4.092923209
4.1995915,4.126751709
4.185534625,4.027694292
4.546467792,4.078421
4.295522166,4.080346875
4.386691875,4.140340333
4.203491333,4.720039541
4.180299166,4.223673958
4.20653375,4.01177575
4.266005459,4.04275375
4.456474625,4.275791625
4.406828209,4.070005666
4.397450459,4.111827583
4.280235708,3.976669209
4.336159666,3.98847925
4.260231333,4.081236
4.231371791,4.0539195
4.437310791,4.193382292
4.199701708,3.99521675
4.162004625,8.376703834
4.393562959,8.69977275
4.644996,9.823715333
4.60275575,8.945736042
4.546238458,9.043182667
4.771768958,9.131978666
4.740235667,9.093830375
4.747620958,9.50225275
4.797119958,9.0838885
5.203374,9.832374042
4.573935625,8.940258708
4.643461417,8.979852209
4.825757375,8.9455965
4.660670292,9.676085708
4.506619334,9.366130208
4.6318155,8.642262625
4.596583375,9.166686542
4.845130084,8.923421292
4.607348,8.847093083
4.832576375,9.116459459
4.498123458,8.899203125
4.475880417,9.420681625
4.573347958,8.959359708
4.528398709,8.96430525
4.526136666,8.670238875
4.465949125,8.693012167
4.600027042,9.1988225
4.815071917,9.571170166
4.674082917,9.316384416
4.999348375,9.180097292
4.690562791,11.186068125
4.469335542,10.371256208
4.620893958,9.173634666
4.575953834,9.106981959
4.617295208,8.980945167
4.628565083,12.4854305
4.480822334,8.928500084
4.526340667,9.605964292
4.6035315,10.289922625
4.555418,10.834432
4.905563959,9.950008292
4.510902542,9.054767958
4.517315792,12.527425
4.441192375,8.847445042
4.793360708,8.745045583
4.703686625,10.294839083
4.512054167,9.453061375
4.51007175,8.874442834
4.525331416,8.9933005
4.576365458,10.443311209
4.7200065,9.53286825
4.837488916,9.468069792
4.430355458,9.278449334
4.912406416,10.533909542
4.822561083,9.403311417
4.847114333,10.1292195
4.771344875,9.750437125
4.689035,8.767345709
4.576246333,8.904164708
4.752190958,8.597044334
4.628726542,8.630315542
4.764277959,8.660656959
4.893060208,8.92806375
4.571611417,8.809212375
4.473562125,9.080501375
5.05590125,8.651623916
4.703934375,8.769815583
4.530425875,8.809958333
5.027697083,9.043938708
4.477995833,8.676262375
4.600643291,8.563303042
4.405305084,8.750550834
4.481020625,8.637486541
4.63245925,8.659766709
4.450647834,9.378550125
4.656064667,8.827043959
4.743344916,9.149533958
4.394156,8.811515541
4.647756916,8.6562365
4.608924083,8.638061459
4.498551333,8.680810792
4.626328375,8.900335
4.407220875,9.279583708
4.713448583,8.751326375
4.808626958,8.613036292
4.515200084,8.574345792
4.876140583,8.606822333
4.59692975,10.378396292
4.477004292,9.02560175
4.378281583,8.73344625
4.429556208,8.752230333
4.424162333,9.051135708
4.454286375,8.664352833
4.454650959,8.711758833
4.488302959,9.262528209
4.955641333,9.402702625
4.385420292,8.6835965
4.56951275,8.615360625
4.426096875,8.598735042
4.437706709,9.816864792
4.533986959,8.696959125
4.521932584,8.690288208
4.492872708,9.143454375
4.581918375,8.804478541
4.464446,8.812376208
4.967055,9.56530275
4.398568917,9.844765208
4.363974,8.599280583
4.464746,8.719393708
4.411294375,8.980787542
4.606692583,8.74917075
4.374286125,8.640808417
4.755637792,8.697807125
4.582235166,8.799072917
4.538982792,8.730664416
4.404724042,8.763849667
4.351906792,10.422868291
5.2199325,8.599786917
5.086347375,8.833598541
4.416146375,9.196883625
4.369883042,8.610184542
4.598750334,9.294226083
4.404320584,9.434829167
4.602498375,8.670313291
4.428547958,9.534753541
4.45150825,8.658714083
4.659264791,8.878486833
4.928395125,8.765877209
4.700350334,8.857696459
5.28329225,9.024772542
4.541498875,8.987189708
4.515271709,8.658085041
4.381058833,8.890775916
4.541088,8.719629958
4.50495575,9.155235958
4.353687458,8.902478042
4.455181625,8.66992625
4.686164667,8.623016916
4.381031875,8.562006833
4.485681834,8.72766775
4.588013,9.001067333
4.66503675,9.136195542
4.472436167,8.577826
4.487149625,8.966596917
4.884746167,8.593542834
4.5139205,9.220090417
4.463395625,8.677139542
4.387362375,8.72248225
4.517168042,8.811593416
4.631960042,8.554681583
4.395742875,8.575238875
4.472910291,8.647536
4.577517459,9.069505
4.456645666,8.823658375
4.385686667,9.112426959
4.333737375,8.795399917
4.446033,8.559266542
4.444458541,8.48937675
4.411616667,8.996300875
5.26270775,10.257846917
4.425267583,8.628056417
4.47821925,8.732007958
4.43586125,8.889619584
4.460602584,8.936590459
4.39282,9.009204334
4.503111667,8.522237958
4.59120525,8.743885459
4.470122792,9.389368542
4.375737167,8.603185209
4.488566417,8.749651708
4.607972416,8.481640292
4.501027542,8.478580416
4.429406333,8.584877792
4.398382833,9.03784725
4.657576375,8.842061834
4.545677417,8.533436708
4.577398667,9.09510125
4.607042875,8.70690925
4.466658333,9.298949792
4.596672459,8.644488125
4.526850041,8.629744292
4.429348292,8.858734958
4.392884584,8.521420666
4.908318916,8.700195375
4.42084725,9.508591166
4.643846459,8.935063209
4.504346875,8.934178375
4.787862416,9.052199417
4.933514916,8.808492334
4.403595292,9.077606375
4.77282425,8.954092875
4.4447265,8.936383708
4.456138958,8.980657208
4.924360833,9.063529083
4.481667041,8.795155584
4.497713375,8.8932625
4.498422875,8.96273675
4.415943083,8.853295375
5.051155208,8.921467583
4.70448925,8.791397917
4.649767209,9.299552917
4.606779666,9.133971458
4.7998885,8.943155667
4.429882625,8.77469025
4.487165958,9.302820917
4.472626042,8.879708292
4.52704425,8.904813084
4.712439459,8.757727334
4.460378208,8.877565541
4.45140675,8.839442416
5.172807583,9.260158375
4.949387541,8.668691292
4.565178875,8.714485375
4.634262708,8.920014875
4.840762667,8.714594042
4.459513583,9.203483833
4.592307458,8.909148375
4.516953375,8.668567125
4.52678575,8.939773917
4.46152875,8.780268584
4.823658041,9.086894959
4.444851208,8.787873208
4.660440333,8.773088167
4.411485584,9.017980292
4.638689375,8.923594959
4.452258208,9.300044833
4.6043055,8.836499084
4.4451005,8.905142458
4.396242875,8.814389375
4.565050208,9.045045209
4.519644708,8.923166333
4.581036375,8.678309875
4.638512042,8.725909166
4.486920625,8.90516925
5.063361125,9.331723292
4.544695792,8.874731625
4.580088042,8.863992042
5.075929791,9.280990042
4.490471167,8.84525525
4.542945792,8.7560335
4.790641459,10.475327875
4.453127459,8.978673208
4.423491875,9.0249605
4.455657292,8.881439917
4.637346416,9.0277405
4.54216,8.876175333
4.464922792,8.886373916
4.483051292,8.927327917
4.943256917,9.08090475
4.999037541,8.844067708
4.486843833,9.481012
4.749063708,9.129771875
5.2769355,9.184917458
4.418276,8.985945583
4.66219675,8.784628208
4.714098958,9.005949416
4.589417583,8.79207975
4.647160875,8.768924375
4.555318167,9.236340041
4.483288917,8.843821541
4.470372958,9.114353417
4.743543541,9.022749584
4.46408225,9.7324035
4.508889083,8.924593
4.592889833,9.073696625
4.65438575,9.209282416
4.639045458,8.840129333
