Motzkin,Robinson
0.022360208,0.057776583
0.040130583,0.032590333
0.042325833,0.078528458
0.038429083,0.098720416
0.040281583,0.094053875
0.065820917,0.095938834
0.093059041,0.092086042
0.092935708,0.244681708
0.089682958,0.24217225
0.107913583,0.258545125
0.091949208,0.254709708
0.098574542,0.226757291
0.092648542,0.259364917
0.244669333,0.250373708
0.290889667,0.256759792
0.289794916,0.254718542
0.29487575,0.284275
0.264707,0.243825459
0.260037208,0.275337417
0.259220708,0.569622416
0.251456292,0.599935
0.264742584,0.605641792
0.242907125,0.539286125
0.26644025,0.552954583
0.257000833,0.584222833
0.271040958,0.522398458
0.259989209,0.564754375
0.28194,0.53566675
0.291684959,0.529114209
0.276123917,0.547963166
0.642783125,0.580392167
0.643347916,0.576573167
0.653705459,0.548642042
0.550184,0.633767584
0.647682375,0.526989
0.618695375,0.52395825
0.573341375,0.530400459
0.619089334,0.532663542
0.57947775,0.563745458
0.562015708,0.579254042
0.55860725,0.640703542
0.622711375,0.5290905
0.580850334,0.526121167
0.565631417,0.612422083
0.543318292,1.320621084
0.630181458,1.436807833
0.594275917,1.266711875
0.557048833,1.258506042
0.639070125,1.250392667
0.583000291,1.289056667
0.74149375,1.313386083
0.559849292,1.272293875
0.660848416,1.267572292
0.555452208,1.311821875
0.563461542,1.254841459
0.571929208,1.418221791
0.5817925,1.353570292
0.567805,1.263227458
0.560592208,1.283040042
0.557708,1.261595917
0.574748583,1.299567833
0.548799875,1.292391833
0.553928125,1.290187291
0.561219167,1.410215459
0.581458875,1.331903125
0.654298792,1.42152925
0.576391917,1.355909125
0.669910083,1.338671458
0.588254,1.301156166
0.587987042,1.416439875
1.456124958,1.308500459
1.382939042,1.322856375
1.440342917,1.306035916
1.568141084,1.300931083
1.393015625,1.40239475
1.497600125,1.309400625
1.339146291,1.29804775
1.312957208,1.290393542
1.366370583,1.38238925
1.386315583,1.327575917
1.465948083,1.280428375
1.369018083,1.308901
1.447083833,1.281051292
1.465180208,1.335524208
1.378479375,1.322700417
1.434248292,1.332929041
1.341561375,1.315513083
1.337994916,1.293355709
1.413327667,1.278458333
1.399566375,1.287029709
1.342167083,1.378830667
1.529007584,1.37701575
1.402159125,1.315805125
1.41045075,1.334056666
1.391268542,1.310448458
1.399677416,1.304783541
1.413998,2.991623333
1.397521584,3.022735
1.564275583,3.380939458
1.521723959,2.907835041
1.467163291,2.961902208
1.375833834,2.91818975
1.619570458,2.916346167
1.412908583,3.300330125
1.506150458,3.363465625
1.376316042,3.02887
1.371653375,3.313303958
1.473870833,3.244158
1.385195792,2.8990155
1.36982575,2.944457875
1.372304,2.88782675
1.4613285,3.315045459
1.33066425,2.893072916
1.378449083,3.146408833
1.352527875,2.939212541
1.441670333,3.17876725
1.464575041,3.101581666
1.411498584,2.928252834
1.404144083,3.03011675
1.46337975,3.074215125
1.407658167,2.895009166
1.331807625,2.876763458
1.501796875,2.907165333
1.411488584,2.888123209
1.786842042,2.883214125
1.397881417,2.9147215
1.458056916,2.90753925
1.561781792,3.074623875
1.3324185,2.963059708
1.382713834,2.96847625
1.413806333,3.136404292
1.38545975,2.953268667
1.431325625,2.941701667
1.41874275,2.94917425
1.350199125,2.923462583
1.405334667,3.323050459
1.357037208,2.937893042
1.392886833,3.036980125
1.385280459,3.281022875
1.3670265,2.952944083
1.404450291,3.016028958
1.526900125,3.142570709
1.345268792,2.980755083
1.399103959,3.498538959
1.411399542,2.950532375
1.354812916,2.987870666
1.412841542,3.106101916
1.502922667,3.023345375
1.443304333,3.006306125
1.627068167,3.354424333
1.534983084,2.984015208
1.409965667,2.972065416
1.56379225,2.967099666
1.487209917,3.028080667
1.440329625,3.127684459
1.428267209,3.107618209
1.551783625,3.057906125
1.348786125,3.097063042
1.36835325,3.280446333
1.423292584,3.077056167
1.456039,3.003818583
1.526818292,3.043569208
1.423590708,3.198134
1.376727041,2.96451025
1.49154625,3.595978583
1.408903833,3.110706666
3.375769042,3.27457075
3.110226208,3.283262791
3.389920208,2.969274916
3.101437209,3.262351334
3.082514167,3.096315709
3.304414459,3.044678875
3.024431166,3.589320709
3.493593459,2.998511292
3.164813041,3.070487416
3.045807042,3.360688958
3.0644155,3.1807125
3.347031667,2.975353125
3.379119041,2.988931958
3.17995325,2.912508667
3.177306458,2.953330125
3.376653583,3.096176167
3.117817167,2.990897625
3.080998958,2.961729959
3.067907,3.006194167
3.166362542,2.983825209
3.063994,2.997593958
3.201906541,3.059786125
2.9794885,2.949538667
3.067496666,3.049849209
2.938423708,2.951853375
3.357702084,2.972168166
3.004923584,3.084330042
3.020761459,2.95216425
3.042561708,2.93606925
3.142591041,2.984851666
3.194507875,2.976248875
3.050142041,2.961329041
2.902846625,3.327629042
3.51288025,3.618048792
3.544442166,2.9332245
3.18389925,3.008411292
2.93684625,2.951266291
2.957593625,2.94405175
3.031929834,3.145336292
3.906850709,2.963692708
2.95703425,2.901978167
3.136596208,2.901498
3.307471,2.994854834
3.163212583,2.909995708
3.232310708,3.061512292
3.027751584,2.926506375
2.941837208,2.875407875
3.058259125,2.93831325
3.540836542,2.894202333
3.544255542,3.128266584
2.971900791,2.993660917
3.009782375,3.138943833
2.988263167,2.94717625
3.052121041,2.951368625
3.055248083,2.95892125
3.00910825,2.939031125
3.174761667,2.899108416
3.363597208,3.102500375
3.539079333,3.28391775
3.063921625,2.941508542
3.13415475,3.227042958
3.082981292,3.066882167
3.169790917,3.093438958
3.172742042,2.956358041
3.212964125,3.185599333
3.193058625,3.128071792
3.03103025,3.174030875
3.144289417,2.925414125
3.190683833,3.334839084
3.106771875,3.056115084
3.182995125,3.069170584
3.110603375,3.216609834
3.245243084,3.585726209
3.505723166,3.318770083
3.268871666,3.283793
3.35016,3.440995709
3.26998575,3.30541025
3.656466709,3.566892959
3.700379084,3.440404916
3.835683083,3.476214792
3.471755666,3.799780209
3.547698125,3.4799775
3.44872525,3.432695042
3.534750542,3.76912725
3.736998875,3.531394625
3.888119792,3.438090917
3.5471175,3.432640167
3.519119875,3.490196875
3.572467458,3.432179125
3.594739667,3.748458041
3.431540959,3.658482375
3.456016125,3.4472395
3.394660333,3.381757625
3.639665375,3.381931042
3.482392208,3.359412791
3.369883334,3.4103805
3.596645834,3.4468535
3.37715025,3.339261
3.36892975,3.321897166
3.733517,3.343056708
3.369642542,3.291685041
3.505671541,3.34621425
3.508745166,3.330625167
3.721130083,3.321751584
3.306728375,3.319887584
3.331791333,3.641688208
3.49920425,3.426636125
3.514285709,7.02051825
3.734959417,7.238841334
3.783249833,7.128725125
3.7718855,7.587874542
3.702977542,7.371518291
3.687148042,7.403584542
3.731734084,7.286769792
3.603978667,7.214481375
3.573184292,7.353552917
3.902415,7.497968542
3.693402334,7.220682834
3.483414666,7.281281708
3.651144583,7.001389709
3.685381875,7.035428292
3.727983708,7.14003175
3.641494167,7.234379625
3.549499042,7.045062417
3.608044542,7.053188083
3.550981333,7.041023166
3.599901292,7.179128167
3.594689333,7.149620333
3.585800125,7.647423166
3.675869666,7.465557875
3.582540959,8.085159084
3.659721833,7.915974917
3.571078333,7.433463208
3.568656917,7.483295042
3.616658833,7.609965958
3.686293042,7.247608375
3.603776083,7.763887875
3.558681125,7.121621208
3.538939458,7.085788791
3.585130417,7.268230916
3.561518208,7.383634709
3.478841083,7.116121083
3.653915459,7.08165875
3.60585075,7.114597083
3.497272625,6.989651667
3.950124292,7.16065025
3.610162917,7.371798791
3.5693795,7.255755417
3.653499708,7.387331709
3.701372584,7.361738125
3.228014583,9.638476583
4.341623208,7.836683209
3.971019208,8.988130833
4.021192459,8.077826667
3.975728834,9.166801834
3.750629875,9.257844458
3.672706834,7.491333292
3.730273,7.273760542
4.039007583,8.323838583
3.58852375,8.189074375
3.504184458,7.639400875
3.615790167,7.181481333
3.627786083,7.656574708
3.5960805,8.005094333
3.722360833,7.830028417
3.676807708,7.532392458
3.782723875,7.608099583
3.671306458,7.721780125
3.857305458,7.316666542
3.514861583,7.312391208
3.541346,6.995130334
3.513600209,7.090095125
3.5472575,7.5198705
3.545335334,7.860924
3.581746875,7.3665255
3.522563333,7.489488333
3.538503875,8.03987325
3.66601675,7.082075625
3.534700959,7.625674375
3.956045584,7.385803917
4.054319625,7.787595792
3.768120708,7.745914042
3.568814625,8.177612458
5.409446333,9.587675125
