motzkin,robinson
0.024028083,0.060288208
0.041386458,0.032914084
0.041936917,0.078208917
0.0430445,0.116714375
0.040234834,0.090062041
0.043506583,0.096850083
0.090329917,0.087841375
0.093388041,0.242846875
0.091391625,0.2571335
0.090130417,0.255051041
0.088392584,0.239899209
0.097432042,0.233294959
0.092848667,0.244486917
0.244314916,0.256004625
0.2967525,0.270921833
0.285699708,0.259922709
0.297721375,0.275191917
0.266393,0.2506885
0.251292917,0.268248667
0.244188166,0.572506042
0.245304791,0.58344475
0.260279458,0.597639583
0.262279959,0.5452545
0.256430333,0.605358791
0.243761166,0.885028667
0.2623295,0.520998
0.259617291,0.558660625
0.282756167,0.535345375
0.304009,0.549884708
0.277351042,0.548636875
0.645696958,0.587305208
0.640501416,0.562768416
0.637987833,0.531963625
0.554029792,0.625519292
0.633768125,0.5271745
0.609185709,0.527865125
0.575186958,0.510938667
0.595206917,0.506198666
0.566102,0.538632625
0.551655084,0.567320375
0.548994333,0.631319875
0.604391,0.52609825
0.582713583,0.546835167
0.572287958,0.622289167
0.557645959,1.322881584
0.603430791,1.415532625
0.582118208,1.246634125
0.549271166,1.249326125
0.635897,1.25453825
0.57084075,1.245258417
0.554542708,1.299590708
0.55544975,1.255328708
0.658495041,1.256520792
0.548078167,1.303754208
0.562163459,1.253334375
0.574946709,1.408935417
0.575055792,1.343220916
0.588334667,1.262352791
0.549379958,1.2729885
0.555983625,1.252550792
0.571509833,1.286157792
0.561407542,1.28174225
0.56294925,1.290598959
0.550275708,1.392862625
0.577011125,1.309279875
0.666527041,1.409769042
0.565693584,1.342161542
0.6691825,1.315507042
0.610022167,1.292609083
0.572476125,1.411130291
1.41879025,1.301947042
1.377031375,1.309944083
1.41671025,1.302055625
1.541396916,1.296783625
1.3830515,1.391615459
1.475987375,1.303282041
1.334384542,1.285330667
1.306194084,1.275553958
1.343617541,1.330728083
1.376762708,1.318383417
1.446697292,1.261306
1.355334791,1.302800417
1.422803417,1.278847125
1.439742375,1.325892292
1.376413125,1.307030792
1.416417708,1.31997525
1.326813667,1.289006792
1.325691208,1.279966584
1.392320666,1.25786175
1.387624292,1.269796458
1.317845167,1.349673416
1.483437459,1.355354291
1.398663917,1.281871792
1.369862458,1.305294416
1.381851041,1.302900333
1.377916167,1.294023667
1.396044541,2.966562792
1.398090208,2.918335625
1.388602792,3.343002917
1.525977334,2.885927459
1.450097333,2.908836958
1.347618542,2.875902083
1.586477125,2.887483041
1.39461875,3.5267015
1.464490375,3.199020333
1.349664459,3.001028541
1.350246375,3.206445125
1.461747292,3.199074666
1.3863235,2.857763625
1.33851275,2.900384583
1.349471875,2.839421541
1.431781834,3.027940958
1.319636958,2.831857291
1.357550125,3.11564025
1.344181541,2.914468208
1.38985625,3.138547
1.434681334,3.069985291
1.394184375,2.877065542
1.344512667,2.964881541
1.451650334,2.97781125
1.391217833,3.136805916
1.320967458,2.867123041
1.477163459,2.869733209
1.398372916,2.859193458
1.755028125,2.8492555
1.379800083,2.886989166
1.448425459,2.8617405
1.389507208,3.023512667
1.309701167,2.888866334
1.356295375,2.920831333
1.364462875,3.100783125
1.367982042,2.928140125
1.404025125,2.887759625
1.386725334,2.9012205
1.321376833,2.869175
1.37152475,3.273705166
1.318939625,3.193511917
1.322650209,2.981273
1.344868375,3.19319525
1.315619958,2.852461709
1.3663805,2.888515458
1.321607916,3.044624125
1.305344417,2.8634595
1.343918583,3.350446125
1.386219417,2.892480208
1.322162083,2.883789708
1.362788834,3.012012709
1.479390333,2.911429458
1.377300917,2.918913083
1.566936291,3.185078333
1.473854625,2.890874167
1.3491775,2.874889666
1.531625792,2.88539775
1.457345125,2.936215208
1.416171834,3.125212917
1.526988375,2.982963125
1.362093125,2.970669125
1.322936125,2.99527075
1.319129416,3.185446209
1.391093417,3.04579275
1.367693084,2.925307416
1.4306495,3.006658916
1.383817,3.109105167
1.347818875,2.914184416
1.459881542,3.506510916
1.39889125,3.040581959
3.335933875,3.218125625
3.044654084,3.185952709
3.29247775,2.928516834
3.027188583,3.090214958
3.196298583,3.084164709
3.317523958,3.0177435
3.001009666,3.374658417
3.274946,2.866001458
3.134111042,2.968482791
2.948841792,3.29751625
2.971155458,3.160757417
3.272276,2.969653125
3.050252916,2.976983375
3.063103625,2.96245
3.273134708,2.975904542
3.382099458,3.147934458
3.00096775,2.917085541
2.950409042,2.903429458
3.03548575,2.893389875
3.050584834,2.949607458
2.952444208,2.940754625
2.981578916,3.095720125
3.143889375,2.978908875
3.119209792,3.037609916
2.971605667,2.955463209
3.3888655,3.020817584
3.031721208,3.139420625
3.075367375,3.050088209
3.249510916,3.123950667
3.353233291,3.153005333
3.266499958,3.161504708
3.27230675,3.295375916
3.436971958,3.64724
3.458649917,3.317298625
